#OTU ID	CKBMH1	CKBMH2	CKBMH3	CKBMH4	CKBMH5	CKLMH1	CKLMH2	CKLMH3	CKLMH4	CKLMH5	CKRMH1	CKRMH2	CKRMH3	CKRMH4	CKRMH5	CKRoMH1	CKRoMH2	CKRoMH3	CKRoMH4	CKRoMH5	CKSMH1	CKSMH2	CKSMH3	CKSMH4	CKSMH5	D1BMH1	D1BMH2	D1BMH3	D1BMH4	D1BMH5	D1LMH1	D1LMH2	D1LMH3	D1LMH4	D1LMH5	D1RMH1	D1RMH2	D1RMH3	D1RMH4	D1RMH5	D1RoMH1	D1RoMH2	D1RoMH3	D1RoMH4	D1RoMH5	D1SMH1	D1SMH2	D1SMH3	D1SMH4	D1SMH5	D2BMH1	D2BMH2	D2BMH3	D2BMH4	D2BMH5	D2LMH1	D2LMH2	D2LMH3	D2LMH4	D2LMH5	D2RMH1	D2RMH2	D2RMH3	D2RMH4	D2RMH5	D2RoMH1	D2RoMH2	D2RoMH3	D2RoMH4	D2RoMH5	D2SMH1	D2SMH2	D2SMH3	D2SMH4	D2SMH5	WBMH1	WBMH2	WBMH3	WBMH4	WBMH5	WD1BMH1	WD1BMH2	WD1BMH3	WD1BMH4	WD1BMH5	WD1LMH1	WD1LMH2	WD1LMH3	WD1LMH4	WD1LMH5	WD1RMH1	WD1RMH2	WD1RMH3	WD1RMH4	WD1RMH5	WD1RoMH1	WD1RoMH2	WD1RoMH3	WD1RoMH4	WD1RoMH5	WD1SMH1	WD1SMH2	WD1SMH3	WD1SMH4	WD1SMH5	WD2BMH1	WD2BMH2	WD2BMH3	WD2BMH4	WD2BMH5	WD2LMH1	WD2LMH2	WD2LMH3	WD2LMH4	WD2LMH5	WD2RMH1	WD2RMH2	WD2RMH3	WD2RMH4	WD2RMH5	WD2RoMH1	WD2RoMH2	WD2RoMH3	WD2RoMH4	WD2RoMH5	WD2SMH1	WD2SMH2	WD2SMH3	WD2SMH4	WD2SMH5	WLMH1	WLMH2	WLMH3	WLMH4	WLMH5	WRMH1	WRMH2	WRMH3	WRMH4	WRMH5	WRoMH1	WRoMH2	WRoMH3	WRoMH4	WRoMH5	WSMH1	WSMH2	WSMH3	WSMH4	WSMH5
ASV11	0	0	0	0	38010	0	0	299	124	0	0	0	0	0	0	1430	0	1405	606	0	0	0	0	0	331	0	0	68329	0	0	0	0	0	0	337	0	0	0	0	0	0	14599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9219	17647	0	0	0	1540	0	0	212	0	0	0	0	0	0	1892	0	0	0	0	0	544	0	1886	0	0	0	30795	17824	0	0	182	0	32	0	0	0	9485	0	0	0	2037	0	958	0	55	0	178	0	470	0	0	0	1137	0	0	0	0	0	0	1523	0	369	0	0	0	0	0	0	0
ASV12	65063	31285	3582656	456659	0	0	0	0	0	0	0	21081	27084	117974	0	0	0	134574	521744	0	0	0	0	351	0	105249	156271	1732524	623288	3052144	0	0	0	0	0	68245	189896	363572	353199	466890	92238	0	26797	114608	3744	0	0	0	0	0	0	1046902	0	6195779	1597085	0	0	0	503	0	0	13901	10764	663025	538595	0	0	0	1446425	198858	0	0	0	0	0	843565	1514340	3969178	16433070	2106993	159967	0	451380	379254	0	0	0	0	0	0	42786	0	303902	0	29103	22699	0	275518	9267	0	0	0	0	0	0	9605109	10263937	0	179706	2770965	0	0	0	0	0	1080295	4100328	0	136335	72511	460997	247721	0	43730	6824	0	0	0	0	0	0	0	0	0	0	139176	100476	501367	943442	213327	7364	15047	219027	1438456	57143	0	0	0	0	0
ASV13	0	64567	0	15212	18178	0	0	0	0	0	0	42163	0	0	0	0	0	0	757	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0	0	0	8125	0	0	0	0	0	0	0	0	18164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1346	0	0	0	0	0	0	0	0	0	21475	18017623	0	0	0	0	859	0	0	0	3304	12868428	0	4322	0	0	3224885	2234	1101	0	0	534	0	0	99	0	0	1137	0	4086	0	0	0	3110	0	0	0	1623	0	177	0	0	0	0
ASV14	6802	7988	24009	7463	15424	93	124	149	0	0	1795	10284	1491	2034	4707	429	1253	432	303	2740	0	0	154	175	166	7735	7963	12545	2136	8804	205	0	0	153	168	4875	5012	7090	7907	5324	14057	56752	1887	0	845	0	0	0	89	0	4505	0	4548	8766	8746	0	0	882	0	291	32524	2157	8372	7388	12853	438	720	4063	3107	3633	0	0	0	0	178	24726	10038	16317	0	0	4485	0	3351	0	3693	342	129	0	71	0	1361	0	3853	11853	4197	1513	489	789	463	1192	467	181	207	707	0	8191	20662	0	6982	18834	84	91	0	0	82	3742	29032	2134	1258	1921	73024	970	2684	638	1541	0	0	178	107	470	197	450	0	0	168	6640	2255	1269	4146	1555	381	470	246	1947	451	177	0	140	0	0
ASV15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	1025959	0	0	0	0	168	0	0	0	0	121913	0	10766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408	0	5597	0	2936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV16	9168	37276	54109	6889	104113	6824	3594	26814	3594	1136	163390	884391	2111324	566044	2342317	2002	2610	1838	2575	1957	1713	3199	921	1579	994	17403	17916	6940	3966	24379	30141	5968	6933	6748	23221	178900	462768	27967	78196	53237	60334	12956	1761	1098	845	687	286	362	977	894	9459	6127	10094	10714	11224	2767	17216	1113917	11559	14717	16748	23968	121280	229032	7910	438	720	51190	116149	1332	191	189	1090	42630	1069	10350	28442	10878	135684	7875	47841	7105	19120	99190	5608	2910	2005	1999	1980	771	9724	61610	38530	23082	152788	1892	734	1578	4325	1490	622	2176	2695	471	321	22196	29447	25455	15619	33771	6683	2185	5261	604	6103	122251	88276	170020	8301	55464	476	776	36771	2554	3962	383	5993	9079	430	3762	5324	23113	23838	41272	6734	47243	529439	3552	822644	3629	1397	157	492	2272	8421	354	598	0	718	265
ASV17	3469933	12980	19925346	8324	13221	7105	1983	11353	1735	2708	1002783	0	1176795	947572	0	16873	626	45939	0	2544	734	376	3838	877	497	0	0	0	86949	0	13327	3754	5473	1687	3197	3900	0	0	137501	0	0	6387	2013	11255	0	172	1143	0	266	0	0	0	0	0	56997	791	3480	3526	1809	2914	0	0	0	0	53143	0	0	0	0	0	127	0	0	0	0	0	13862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1513	856	0	0	0	0	0	0	1178	0	0	0	0	6799	0	0	91	107	0	0	0	0	0	0	0	1523	1164	0	0	0	0	0	0	0	0	197	0	0	0	84	3064	0	0	0	0	0	0	0	0	0	530	85	140	144	442
ASV18	208202	145109	108218	139782	147080	0	124	75	0	0	1380286	2294789	599828	468991	276358	715	418	1729	606	1957	0	0	0	0	331	159392	220471	267979	163525	429345	205	0	0	613	168	936664	1389973	751959	1024891	192718	4896	13686	1258	1647	1208	0	857	0	977	0	309459	271528	216182	230114	294898	0	0	882	603	291	113835	162023	553056	352009	168326	109	1297	6500	0	484	0	283	0	0	178	167333	98948	289632	289422	246640	236462	166616	155519	451945	86170	342	65	0	141	0	97824	326932	225639	679677	136558	946	734	0	1545	1192	311	181	207	471	0	268732	147885	319165	314945	357411	0	0	107	0	82	332322	167818	323205	246006	429062	286	776	4831	1915	1541	0	60	1424	1719	627	99	150	0	487	84	94486	307440	63940	281402	57544	381	0	123	1623	2256	795	85	210	0	707
ASV19	306684	844364	0	0	2692068	0	0	0	0	87	48478	59131	9939	11333	74637	178742	0	0	3635	24266	0	0	0	0	0	28729	25622926	1294255	302339	2386456	0	0	0	0	673	415808	380906	311183	288182	269912	110875	5326460	17110	713725	32609	0	0	0	0	0	0	96554	68881	684010	412828	0	0	0	603	0	26456	17017	79657	61012	37818	0	0	13204	0	0	0	0	0	0	0	4890033	1690488	3359320	281216	3162222	1400581	14087395	376675	10369449	3245198	0	0	0	141	0	22949	146076	147616	920480	2559344	10404	178018	369094	165733	150788	0	0	0	0	0	1358456	4533351	45392	0	606149	0	0	0	0	0	147449	1547182	0	0	61466	41320	490495	0	0	1541	0	0	0	0	0	0	0	0	0	758	70737	591578	167714	380362	182481	54592	14107	6395	375637	35188	0	0	0	0	0
ASV20	0	4327	10750	6602	9089	0	0	75	0	0	0	0	0	0	0	286	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	168	2194	0	3545	0	0	0	5292	0	0	0	0	286	0	0	0	0	0	0	5844	0	0	0	0	0	291	0	1438	25356	0	0	0	0	0	0	0	0	0	0	0	0	0	13862	0	0	0	0	0	0	0	6429	1711	129	83	0	0	0	0	0	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	84	0	1253	0	1659	0	0	0	123	1460	0	0	0	0	0	0
