#OTU ID,taxonomy
ASV44,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__unidentified; g__unidentified; s__Auriculariales_sp
ASV45,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Helotiaceae; g__Meliniomyces; s__Meliniomyces_sp
ASV46,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Unassigned
ASV47,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Hyaloscyphaceae; g__Glutinomyces; s__Glutinomyces_brunneus
ASV48,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Agaricales; f__Agaricaceae; g__Leucocoprinus; s__Leucocoprinus_birnbaumii
ASV49,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__unidentified; g__unidentified; s__Trechisporales_sp
ASV50,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__Auriculariales_fam_Incertae_sedis; g__Renatobasidium; s__Renatobasidium_sp
ASV51,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__ Pleosporales; f__Unassigned; g__Unassigned; s__Unassigned
ASV52,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Hyaloscyphaceae; g__Glutinomyces; s__Unassigned
ASV53,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_caribbaeum
ASV54,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Unassigned
ASV55,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Hyaloscyphaceae; g__Cistella; s__Cistella_sp
ASV56,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Geastrales; f__Sphaerobolaceae; g__Sphaerobolus; s__Sphaerobolus_sp
ASV57,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__unidentified; g__unidentified; s__Trechisporales_sp
ASV58,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Thelephorales; f__Thelephoraceae; g__Unassigned; s__Unassigned
ASV59,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Geastrales; f__Sphaerobolaceae; g__Sphaerobolus; s__Sphaerobolus_sp
ASV60,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Unassigned; g__Unassigned; s__Unassigned
ASV61,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Subulicystidium; s__Subulicystidium_oberwinkleri
ASV62,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Unassigned; f__Unassigned; g__Unassigned; s__Unassigned
ASV63,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Thelebolales; f__Pseudeurotiaceae; g__Pseudogymnoascus; s__Pseudogymnoascus_roseus
ASV64,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Cordycipitaceae; g__Simplicillium; s__Simplicillium_aogashimaense
ASV65,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Sordariales; f__Chaetomiaceae; g__Unassigned; s__Unassigned
ASV66,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Unassigned
ASV67,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_theobromicola
ASV68,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__unidentified; g__unidentified; s__Auriculariales_sp
ASV69,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Agaricales; f__Entolomataceae; g__Clitopilus; s__Clitopilus_baronii
ASV70,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_amazonicum
ASV71,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Clavicipitaceae; g__unidentified; s__Clavicipitaceae_sp
ASV72,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__ Leucosporidiales; f__Leucosporidiaceae; g__Leucosporidium; s__Leucosporidium_creatinivorum
ASV73,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Agaricales; f__Bolbitiaceae; g__Unassigned; s__Unassigned
ASV74,k__Fungi; p__Basidiomycota; c__Pucciniomycetes; o__ Platygloeales; f__unidentified; g__unidentified; s__Platygloeales_sp
ASV75,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Subulicystidium; s__Subulicystidium_oberwinkleri
ASV76,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__ Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_rishikesha
ASV78,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Agaricales; f__Agaricaceae; g__Leucocoprinus; s__Leucocoprinus_birnbaumii
ASV79,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Thelebolales; f__Pseudeurotiaceae; g__Pseudogymnoascus; s__Pseudogymnoascus_roseus
ASV80,k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__ Chytridiales; f__Chytridiaceae; g__Dendrochytridium; s__Dendrochytridium_crassum
ASV81,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Unassigned
ASV82,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Chaetosphaeriales; f__Chaetosphaeriaceae; g__Thozetella; s__Thozetella_lithocarpi
ASV83,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Subulicystidium; s__Unassigned
ASV84,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora_sp
ASV85,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Glomerellales; f__Glomerellaceae; g__Colletotrichum; s__Unassigned
ASV86,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Helotiaceae; g__Meliniomyces; s__Meliniomyces_sp
ASV87,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Chaetosphaeriales; f__Chaetosphaeriaceae; g__Chaetosphaeria; s__Chaetosphaeria_sp
ASV88,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Eurotiales; f__Aspergillaceae; g__Penicillium; s__Unassigned
ASV89,k__Fungi; p__Basidiomycota; c__Pucciniomycetes; o__ Platygloeales; f__unidentified; g__unidentified; s__Platygloeales_sp
ASV90,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Leotiaceae; g__Gorgomyces; s__Gorgomyces_sp
ASV91,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__ Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Polylobatispora; s__Polylobatispora_deltoidea
ASV92,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Myxotrichaceae; g__Oidiodendron; s__Oidiodendron_maius
ASV93,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__ Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_gemmifera
ASV94,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Chaetosphaeriales; f__Chaetosphaeriaceae; g__Thozetella; s__Thozetella_pinicola
ASV95,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__ Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_angusta
ASV96,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Diaporthales; f__Melanconidaceae; g__Melanconiella; s__Melanconiella_sp
ASV97,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Thelebolales; f__Pseudeurotiaceae; g__Pseudogymnoascus; s__Pseudogymnoascus_roseus
ASV98,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Luellia; s__Luellia_cystidiata
ASV99,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Unassigned
ASV100,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Nectriaceae; g__Ilyonectria; s__Ilyonectria_liriodendri
ASV101,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Bionectriaceae; g__Clonostachys; s__Clonostachys_swieteniae
